text,h,s,b,dimmer,ct
업무가 나와 맞지 않아 시간을 버리는 것 같이 느껴지셨군요.,240,30,60,60,350
성인인데도 진로를 아직도 못 정했다고 부모님이 노여워하셔. 나도 섭섭해.,280,60,50,50,280
부모님의 노여움에 섭섭하시군요. 이런 상황을 어떻게 해결하면 좋을까요?,240,30,60,60,350
부모님께 좀 더 시간을 달라고 해야겠어. 진로 테스트를 받아볼까 생각 중이야.,120,30,60,60,350
진로 테스트를 받아보겠다고 부모님께 말씀드릴 생각이군요.,120,30,60,60,350
퇴사한 지 얼마 안 됐지만 천천히 직장을 구해보려고.,45,30,50,50,300
천천히라도 직장을 구해 보려고 하시는군요. 특별한 이유가 있으신가요?,240,20,50,50,350
더 좋은 회사가 기다리고 있을지도 모르는데 쉬고 있기가 좀 그래.,60,70,80,80,450
좋은 일자리를 놓치고 싶지 않아 끊임없이 노력하시는군요.,60,70,80,80,450
하는 일이 잘 풀리시길 바라요.,120,10,90,90,380
졸업반이라서 취업을 생각해야 하는데 지금 너무 느긋해서 이래도 되나 싶어.,240,40,60,60,300
취업에 대해 걱정이 되는군요.,240,40,60,60,300
응.,240,40,60,60,300
느긋함을 느끼는 내가 좀 싫었는데 걱정을 많이 하는 것보다는 낫다는 생각도 들어.,120,30,70,70,400
걱정보다는 느긋한 태도가 낫다고 생각하시는군요.,120,30,70,70,400
요즘 직장생활이 너무 편하고 좋은 것 같아!,90,80,95,95,450
직장생활이 편하고 좋으시다니 좋아 보여요. 다니고 계신 회사만의 장점이 있나요?,60,50,80,80,400
우리 회사는 복지가 정말 좋아! 내가 곧 출산하게 되는데 육아휴직 기간도 긴 데다가 소정의 지원금도 제공해줘!,90,80,95,95,450
예비 엄마들에게는 정말 꿈의 회사인 것 같네요. 마음이 편하시겠어요.,60,50,80,80,400
취업해야 할 나이인데 취업하고 싶지가 않아.,260,40,30,30,200
취업하고 싶지 않으시군요.,240,20,50,50,350
혹시 어떤 이유가 있을까요?,240,30,60,60,380
아직 조금 더 놀고 싶은 마음이 커. 인생은 긴데 꼭 빨리 취업해야 할까 싶어.,120,50,70,70,350
아직은 인생을 즐기고 싶은 마음이시군요.,60,50,80,80,400
면접에서 부모님 직업에 대한 질문이 들어왔어.,220,50,60,60,350
그때 어떤 생각이 들었나요?,240,30,60,60,380
무척 당혹스러웠어.,220,70,70,70,300
부모님 직업이 면접에 영향을 줄 것 같았어.,220,70,70,70,300
그런 면접 상황에 무척 놀라셨군요. 어떻게 답하셨는지 여쭤봐도 될까요?,240,30,60,60,380
큰일이야.,0,80,60,60,250
부장님께 결재받아야 하는 서류가 사라졌어. 한 시간 뒤에 제출해야 하는데 어디로 갔지?,0,80,60,60,250
중요한 서류가 사라져서 당혹스러우시군요. 찾아볼 방법이 있을까요?,240,30,70,70,380
혹시 과장님이 가져가신 건 아닌지 여쭈어보고 올까? 괜히 그랬다가 서류 잃어버렸다고 혼나면 어쩌지.,220,60,50,50,280
혼이 날까 봐 과장님께 서류의 행방을 물어보는 것이 고민되시는군요.,240,30,60,60,380
나 얼마 전에 면접 본 회사에서 면접 합격했다고 연락받았었는데 오늘 다시 입사 취소 통보받아서 당혹스러워.,300,70,80,80,250
회사에서 합격 통보받았다가 다시 입사 취소되어서 당혹스러우시군요.,220,50,60,60,350
코로나바이러스 때문에 그렇다고 하는데 이럴 거면 아예 면접을 보지 말 걸 그랬나 봐.,260,60,50,50,280
차라리 면접을 보지 않았으면 더 좋았겠단 생각이 드시는군요.,240,30,60,60,380
길을 가다가 우연히 마주친 동네 아주머니께서 취업했냐고 물어보셔서 당황했어.,220,70,70,70,300
취업에 대한 질문이 당혹스러우셨군요.,240,30,60,60,380
평소 친한 것도 아닌데 갑자기 취직했냐고 물어보시니 당황했지. 당당하게 취업했다고 말하지 못해서 더 곤란했어.,220,70,70,70,300
취직에 관해 물어보셔서 당혹스러운 상황이었군요.,240,30,60,60,380
어제 합격 통보를 받은 회사에서 문자를 잘못 발송했다고 연락이 왔어. 너무 당혹스럽고 속상해.,300,70,80,80,250
잘못 발송된 문자로 당황하셨군요. 사과는 받으셨나요?,240,30,60,60,380
물론 사과는 받았지. 하지만 대기업에서 이런 사소한 실수를 하다니 정말 실망이야.,260,60,50,50,280
대기업의 실수 때문에 실망감을 느끼시는군요.,240,30,60,60,380
나 오늘 첫 출근 했는데 너무 당황스러웠어!,0,80,60,60,250
무슨 일 있었나요?,240,30,60,60,380
버스 타고 카드를 찍으려고 하는데 지갑을 바꿔서 가져오느라고 교통 카드를 안 가져온 거야.,220,70,70,70,300
카드가 없어서 너무 당황스러웠겠어요.,240,30,60,60,380
이번에 직장을 이직했는데 글쎄 만나고 싶지 않은 사람을 만나서 아주 당황스럽더라고.,300,70,80,80,250
이직하신 직장에서 만나고 싶지 않으신 분을 만나서 많이 당황하신 거 같아요.,220,50,60,60,350
정말 다시는 만나고 싶지 않았던 사람인데. 이제 어떻게 해야 할지 막막함에 너무 힘들어.,260,60,50,50,280
새 직장에서 만나고 싶지 않은 사람을 만나서 너무 스트레스를 받으실 것 같아요.,220,60,70,70,380
코로나 때문에 뭘 할 수가 없어. 취직 준비를 해야 하는데 시험이 줄줄이 취소되니 말이야. 마비라는 말이 이럴 때 참 어울리는 것 같아.,260,60,50,50,280
코로나로 취업이 어렵군요. 시험도 줄줄이 취소되고요.,240,30,60,60,380
자격증 시험은 못 보지만 공부는 계속해서 할 수 있지. 주어진 상황이 이러니 일단 공부라도 열심히 해봐야겠네.,120,30,70,70,400
시험은 못 보지만 공부는 계속하실 계획이시군요.,120,30,70,70,400
오늘 회사에서 큰 실수를 한 것 같아.,0,80,60,60,250
무슨 실수를 하셨나요?,240,30,60,60,380
중요한 발표가 있었는데 많은 사람 앞에서 말을 해야 해서 몸이 굳어버렸어.,220,70,70,70,300
준비 많이 하셨는데 힘드셨겠어요.,240,30,60,60,380
요즘 취업 관련해서 떠올리기만 해도 온몸이 마비될 것 같아.,260,60,50,50,280
온몸에 마비될 것 같은 기분이 드신다니 현재 어떤 상황인지 여쭤봐도 될까요?,240,30,60,60,380
현재 취업 준비생인데 취업 문이 갈수록 좁아진 데 비해 나 같은 취업 준비생들은 점점 늘어나니 내가 정말 취업을 할 수 있을지를 생각하면 온몸이 얼어붙는 기분이야.,260,60,50,50,280
갈수록 힘들어지는 취업에 대해 생각하실 때마다 온몸이 마비된 기분에 사로잡혀 계시는가 보네요. 이 기분에서 벗어나려면 어떻게 하면 좋을까요?,240,30,80,80,400
어제도 야근 오늘도 야근이야. 너무 힘들어.,0,80,60,60,250
야근이 많아서 힘드신 것 같아요. 어떤 상황인지 자세히 말씀해 주시겠어요?,240,30,60,60,380
솔직히 말하자면 굳이 야근할 일이 아니야. 근데 상사가 자꾸 야근을 시키니 미치겠어.,0,100,70,70,320
안 해도 될 야근을 하는 것 같아 더 스트레스받으시는 것 같군요.,220,60,70,70,380
우리 회사는 정말 사내 분위기가 좋아.,90,80,95,95,450
사내 분위기가 좋아서 즐거우시군요.,60,50,80,80,400
즐거운 일이 매일 생길 거 같은 기분이야. 내가 원하는 진로로 취업해서 더 그런 거 같아.,90,80,95,95,450
원하는 진로에 맞춰서 취업해서 더욱 만족스럽군요.,60,50,80,80,400
오늘 내가 다니는 회사가 참 좋은 직장이라는 생각이 들었어.,90,80,95,95,450
직장이 좋으시군요.,60,50,80,80,400
자세히 알려주실 수 있나요?,240,30,60,60,380
회사에서 내가 제안한 프로젝트를 항상 긍정적으로 검토해주시고 의견에 귀를 기울여주시거든.,90,80,95,95,450
이렇게 서로 존중하면서 소통할 수 있는 우리 회사가 아주 좋아.,90,80,95,95,450
존중하며 소통하는 직장에 크게 만족감을 느끼는군요.,60,50,80,80,400
회사에서 전공시험을 봤어.,240,30,70,70,380
오늘 시험 결과가 나왔어.,60,70,80,80,450
시험 결과가 어떠셨나요?,240,30,60,60,380
열심히 준비한 만큼 원하던 점수가 나왔어.,90,80,95,95,450
준비한 만큼 점수가 잘 나와서 만족스러우시겠어요.,60,50,80,80,400
